episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
1,,0.10259536541162134,30,16,50,20,16,0,14,62.9,1.0
2,3.633183240890503,0.1433822675519032,22,14,82,25,29,0,28,63.44,0.99525
3,,0.6479650424985148,22,10,50,19,15,0,16,62.91,0.99525
4,4.237758636474609,1.0403348638541512,22,8,48,18,12,0,18,62.94,0.9904999999999999
5,,-0.24681891125984975,20,12,34,14,11,0,9,62.84,0.9904999999999999
6,4.233619689941406,0.3456125728900701,20,10,38,11,12,0,15,63.33,0.9857499999999999
7,,0.9226290421769154,28,10,60,19,22,0,21,63.23,0.9857499999999999
8,4.506473064422607,0.06736133072507675,26,14,44,18,12,0,14,62.91,0.9809999999999999
9,,0.2977521382143588,20,10,34,12,14,0,8,63.16,0.9809999999999999
10,4.224525451660156,0.5961620041241987,26,12,50,20,16,0,14,63.05,0.9762499999999998
11,,0.5832420072884376,22,10,38,12,12,0,14,63.02,0.9762499999999998
12,4.249273777008057,1.8320870207927606,32,8,52,22,13,0,17,62.87,0.9714999999999998
13,,-0.49187867335809876,28,16,46,20,16,0,12,63.3,0.9714999999999998
14,4.6608405113220215,1.1334898014747097,24,8,56,18,17,0,21,62.88,0.9667499999999998
15,,1.5834694490396224,34,8,78,21,27,0,30,62.98,0.9667499999999998
16,3.8452868461608887,-0.7179674484716634,28,20,56,20,18,0,18,63.0,0.9619999999999997
17,,1.109765787610368,30,10,80,32,26,0,22,63.09,0.9619999999999997
18,4.276922225952148,-0.17710550994687052,28,16,52,16,18,0,20,63.01,0.9572499999999997
19,,0.24974307874939775,24,14,70,21,24,0,25,63.34,0.9572499999999997
20,4.014832019805908,0.6081058352829267,22,10,46,19,14,0,13,63.0,0.9524999999999997
21,,-3.3832837143279235,20,20,28,12,4,0,12,62.93,0.9524999999999997
22,3.4795725345611572,-0.9216718342534959,18,12,26,11,7,0,8,62.9,0.9477499999999996
23,,1.4828664139265182,26,6,70,14,30,0,26,63.22,0.9477499999999996
24,4.564512252807617,0.08527844981617634,32,16,60,23,28,0,13,63.45,0.9429999999999996
25,,-2.4413159251455676,20,18,30,15,8,0,7,63.24,0.9429999999999996
26,4.366222858428955,1.5099403135000589,32,8,52,14,20,0,20,63.07,0.9382499999999996
27,,0.8108499978568889,24,10,50,8,22,0,20,63.14,0.9382499999999996
28,4.058242321014404,1.4025834942918916,30,8,66,23,26,0,19,63.05,0.9334999999999996
29,,1.1397762641156524,28,10,52,20,15,0,17,63.15,0.9334999999999996
30,4.032653331756592,1.4819554050330275,35,8,87,32,30,0,27,63.22,0.9287499999999995
31,,-0.2166281288268013,26,16,52,21,12,0,19,63.47,0.9287499999999995
32,4.099259376525879,0.24326930822240925,22,12,56,21,17,0,18,63.23,0.9239999999999995
33,,-0.49500155392546674,26,16,40,17,9,0,14,63.34,0.9239999999999995
34,3.429999351501465,0.4689334086607347,28,14,72,29,22,0,21,63.54,0.9192499999999995
35,,-0.7986418438622044,20,14,36,14,10,0,12,62.99,0.9192499999999995
36,3.9949159622192383,0.06663529960060746,22,12,40,13,15,0,12,62.97,0.9144999999999994
37,,-2.130462975037675,18,14,22,10,7,0,5,63.57,0.9144999999999994
38,4.0367751121521,-0.4322686408300228,24,16,50,23,15,0,12,63.09,0.9097499999999994
39,,0.7302193645000867,28,12,62,21,26,0,15,63.34,0.9097499999999994
40,4.2559614181518555,0.06343615855142601,18,10,34,6,14,0,14,63.57,0.9049999999999994
41,,0.7454281876573366,24,10,60,20,27,0,13,63.34,0.9049999999999994
42,3.5248544216156006,1.520780258129123,32,4,102,29,49,0,26,63.16,0.9002499999999993
43,,0.6777034523540659,22,10,60,18,22,0,20,63.23,0.9002499999999993
44,4.383689880371094,0.46576350814305284,26,12,56,13,31,0,14,63.0,0.8954999999999993
45,,-0.4028565717815293,20,14,48,16,16,0,16,63.25,0.8954999999999993
46,4.369479656219482,0.969309395584848,26,10,50,20,18,0,12,63.2,0.8907499999999993
47,,1.102575128528744,34,10,74,29,26,0,23,63.4,0.8907499999999993
48,4.568955421447754,0.2638755398187671,22,10,32,13,12,0,9,62.93,0.8859999999999992
