episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,,-2.265625,20,20.55,1.0,10,64,23,26,0,17
2,8.249456405639648,-2.0,20,23.43,0.99505,7,45,12,21,0,16
3,,-7.0,20,42.29,0.99505,18,40,13,11,0,18
4,10.89119815826416,-3.3,21,28.11,0.9901,13,50,16,19,0,17
5,,-2.727272727272727,20,31.09,0.9901,12,66,22,22,0,24
6,9.046927452087402,-1.2222222222222223,20,23.45,0.98515,6,45,20,12,0,16
7,,-2.8448275862068964,20,26.64,0.98515,12,58,22,28,0,12
8,9.444062232971191,-2.272727272727273,20,15.99,0.9802,10,44,21,13,0,14
9,,-1.0526315789473684,22,23.63,0.9802,6,57,20,15,0,25
10,9.597708702087402,-2.1538461538461537,21,18.29,0.97525,9,65,26,21,0,25
11,,-0.9016393442622951,20,24.15,0.97525,6,61,24,21,0,18
12,7.898489952087402,-3.5416666666666665,20,30.59,0.9702999999999999,12,48,17,14,0,19
13,,-2.2641509433962264,21,29.22,0.9702999999999999,10,53,19,15,0,23
14,7.50838565826416,-1.5217391304347827,20,17.92,0.9653499999999999,8,69,25,25,0,23
15,,-4.4,20,33.98,0.9653499999999999,14,50,9,22,0,23
16,9.008125305175781,-0.30864197530864196,20,16.05,0.9603999999999999,5,81,32,24,0,29
17,,-1.7391304347826086,20,29.12,0.9603999999999999,8,46,12,13,0,25
18,10.519062995910645,-1.0784313725490196,21,21.93,0.9554499999999999,4,51,18,21,0,16
19,,-1.4864864864864864,20,25.91,0.9554499999999999,6,37,16,15,0,11
20,8.312031745910645,-2.8947368421052633,20,26.08,0.9504999999999999,12,57,21,21,0,17
21,,-4.318181818181818,20,38.13,0.9504999999999999,14,44,12,15,0,21
22,9.996146202087402,-6.842105263157895,20,42.7,0.9455499999999999,18,38,10,15,0,15
23,,-2.0114942528735633,20,29.43,0.9455499999999999,12,87,36,29,0,24
24,8.846145629882812,-4.6938775510204085,20,34.78,0.9405999999999999,15,49,17,22,0,12
25,,-0.6521739130434783,21,21.11,0.9405999999999999,6,69,23,25,0,26
26,8.446406364440918,-2.121212121212121,20,25.96,0.9356499999999999,12,66,20,28,0,20
27,,-2.272727272727273,20,29.32,0.9356499999999999,10,66,23,23,0,24
28,7.019583225250244,-1.8333333333333333,20,24.87,0.9306999999999999,10,60,21,23,0,18
29,,-1.7857142857142858,20,28.59,0.9306999999999999,10,56,11,25,0,22
30,10.059947967529297,-1.4375,20,25.29,0.9257499999999999,8,80,25,26,0,31
31,,-2.4731182795698925,21,25.26,0.9257499999999999,13,93,25,36,0,36
32,8.354740142822266,-2.096774193548387,20,26.15,0.9207999999999998,8,62,25,25,0,18
33,,-1.0,21,29.25,0.9207999999999998,6,95,34,32,0,35
34,11.089896202087402,-4.196428571428571,20,38.5,0.9158499999999998,15,56,22,18,0,20
35,,-4.3478260869565215,20,38.28,0.9158499999999998,14,46,22,15,0,11
36,7.684426784515381,-3.357142857142857,20,24.43,0.9108999999999998,14,70,20,23,0,31
37,,-4.622641509433962,20,31.93,0.9108999999999998,16,53,18,17,0,20
38,6.281562805175781,-3.4285714285714284,20,38.38,0.9059499999999998,14,70,22,22,0,28
39,,-3.8461538461538463,20,30.46,0.9059499999999998,15,52,16,20,0,19
40,8.572969436645508,-1.5116279069767442,20,18.11,0.9009999999999998,6,43,19,18,0,12
41,,-2.8260869565217392,20,38.03,0.9009999999999998,16,92,33,23,0,38
42,9.272188186645508,-4.140625,20,30.28,0.8960499999999998,15,64,27,21,0,21
43,,-1.935483870967742,20,27.11,0.8960499999999998,8,62,17,28,0,21
44,10.42635440826416,-1.893939393939394,20,30.13,0.8910999999999998,8,66,17,29,0,24
45,,-1.7901234567901234,20,21.74,0.8910999999999998,8,81,25,24,0,34
46,6.823489189147949,-2.22972972972973,20,21.88,0.8861499999999998,10,74,27,23,0,29
47,,-1.9607843137254901,23,12.06,0.8861499999999998,8,51,12,32,0,16
48,8.745625495910645,-2.8767123287671232,20,36.57,0.8811999999999998,14,73,27,24,0,27
49,,-1.7777777777777777,21,23.39,0.8811999999999998,8,45,18,17,0,13
50,7.603958606719971,-2.5,20,22.71,0.8762499999999998,12,84,31,27,0,28
51,,-3.582089552238806,21,40.32,0.8762499999999998,16,67,21,26,0,22
52,8.407344818115234,-2.9166666666666665,20,33.59,0.8712999999999997,10,48,10,21,0,21
53,,-1.791044776119403,21,20.38,0.8712999999999997,8,67,22,22,0,25
54,9.40291690826416,-4.0,20,37.93,0.8663499999999997,12,60,17,26,0,21
55,,-2.3076923076923075,21,24.91,0.8663499999999997,8,65,22,31,0,18
56,8.902135848999023,-5.37037037037037,20,41.91,0.8613999999999997,18,54,12,19,0,25
57,,-1.6417910447761195,21,29.08,0.8613999999999997,8,67,26,21,0,25
58,7.660728931427002,-2.8333333333333335,20,29.37,0.8564499999999997,12,60,11,24,0,27
59,,-3.5135135135135136,20,38.19,0.8564499999999997,14,74,24,26,0,30
60,8.770625114440918,-3.103448275862069,21,33.94,0.8514999999999997,14,58,18,15,0,27
61,,-4.803921568627451,20,36.9,0.8514999999999997,14,51,12,18,0,25
62,9.262552261352539,-3.8793103448275863,20,33.27,0.8465499999999997,14,58,14,19,0,28
