episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,321.4598083496094,-1.8518518518518519,18,58.57,0.99802,14,54,16,20,0,18
2,325.1846008300781,1.1764705882352942,20,34.79,0.99604,4,68,32,22,0,18
3,269.7760314941406,-0.6976744186046512,20,48.09,0.99406,10,86,30,28,0,34
4,253.80577087402344,-0.31746031746031744,21,57.09,0.9920800000000001,10,126,42,48,0,41
5,276.6737365722656,-0.9090909090909091,18,57.19,0.9901000000000001,12,66,21,24,0,21
6,263.15582275390625,0.11363636363636363,21,39.48,0.9881200000000001,8,88,31,24,0,37
7,280.08782958984375,-2.8,18,57.63,0.9861400000000001,16,50,15,20,0,15
8,297.1619873046875,0.21052631578947367,21,53.36,0.9841600000000001,8,95,28,40,0,29
9,256.5291748046875,-3.2,20,54.4,0.9821800000000002,16,50,12,25,0,17
10,220.16432189941406,-0.8108108108108109,18,57.28,0.9802000000000002,12,74,24,25,0,25
11,190.48526000976562,-0.3389830508474576,20,38.79,0.9782200000000002,8,59,19,22,0,23
12,207.38174438476562,-0.08771929824561403,20,41.64,0.9762400000000002,8,114,39,39,0,40
13,221.38592529296875,0.26666666666666666,20,39.72,0.9742600000000002,8,75,24,26,0,27
14,197.40359497070312,0.39473684210526316,20,41.21,0.9722800000000003,6,76,20,34,0,24
15,207.97775268554688,-0.9375,20,54.12,0.9703000000000003,12,64,20,25,0,21
16,216.07765197753906,0.8403361344537815,20,35.18,0.9683200000000003,2,119,41,40,0,41
17,192.90321350097656,-0.45454545454545453,20,35.99,0.9663400000000003,8,44,19,20,0,8
18,205.25885009765625,0.6329113924050633,20,30.03,0.9643600000000003,4,79,39,26,0,20
19,203.98239135742188,0.5882352941176471,20,30.52,0.9623800000000003,6,68,25,25,0,21
20,172.33740234375,0.7692307692307693,20,35.3,0.9604000000000004,4,78,19,34,0,31
21,176.8487091064453,-1.0714285714285714,20,47.81,0.9584200000000004,12,56,18,18,0,22
22,164.71615600585938,-0.09523809523809523,21,37.82,0.9564400000000004,8,105,43,32,0,35
23,166.20103454589844,0.0,20,35.73,0.9544600000000004,8,72,29,28,0,19
24,157.99343872070312,-0.14492753623188406,21,41.85,0.9524800000000004,10,69,23,30,0,18
25,144.61761474609375,-1.0714285714285714,20,54.12,0.9505000000000005,12,56,17,23,0,18
26,151.90760803222656,0.10101010101010101,23,42.08,0.9485200000000005,8,99,40,37,0,28
27,147.56674194335938,2.0588235294117645,20,29.07,0.9465400000000005,2,68,29,22,0,19
28,147.58367919921875,0.0,20,47.87,0.9445600000000005,8,82,24,35,0,25
29,180.95724487304688,0.29411764705882354,21,54.5,0.9425800000000005,8,68,17,29,0,26
