episode,loss,average reward,conflicts,LoS,action LEFT,action RIGHT,action DIRECT,action LNAV,duration
1,10207.08984375,-6.930693069306931,101,58,270,1468,0,582,82.91
2,7480.5771484375,-5.92,100,65,172,1097,0,593,59.75
3,4516.5302734375,-6.4,100,64,305,1291,21,367,77.58
4,2361.583740234375,-5.78,100,60,273,2037,151,455,107.76
5,1521.92724609375,-4.94,100,50,478,513,417,428,69.38
6,1493.5634765625,-11.73,100,70,2620,111,47,418,69.54
7,1604.7501220703125,-8.01,100,65,1843,202,73,488,110.71
8,827.5307006835938,-9.128712871287128,101,83,2266,193,0,119,82.32
9,818.5809326171875,-5.81,100,72,721,383,540,202,117.17
10,734.8654174804688,-5.89,100,67,374,590,580,472,132.18
11,777.5877685546875,-7.39,100,65,661,394,743,344,99.58
12,476.3150634765625,-6.49,100,65,739,275,575,469,115.82
13,465.31903076171875,-14.356435643564357,101,94,3140,313,0,313,109.42
14,332.4263916015625,-26.50526315789474,95,64,4860,386,207,335,140.94
15,369.51531982421875,-6.75,100,76,630,132,868,338,101.21
16,255.6202850341797,-6.3538461538461535,65,44,224,169,600,265,98.6
17,257.33935546875,-5.61,100,64,689,389,432,298,85.76
18,261.19195556640625,-10.466666666666667,90,68,1644,137,361,442,117.33
19,154.09381103515625,-6.99009900990099,101,66,975,238,621,478,122.63
20,266.9731140136719,-6.65,100,71,611,361,928,324,121.88
21,225.56246948242188,-8.92,100,76,1434,400,631,257,138.18
22,144.49131774902344,-5.6,100,66,949,222,537,232,110.26
23,194.2714080810547,-8.533333333333333,90,63,594,467,601,534,130.4
24,171.15322875976562,-8.372549019607844,102,73,1076,556,469,269,98.73
25,209.25743103027344,-6.35,100,72,703,256,391,570,90.14
1,5405.03955078125,-41.415841584158414,101,92,11192,0,0,0,130.01
1,2778.896728515625,-14.647058823529411,102,83,3782,0,0,0,59.87
2,1467.1466064453125,-12.53921568627451,102,86,3116,0,0,0,50.02
3,449.1897277832031,-9.98,100,88,2002,0,658,0,51.19
4,201.913818359375,-8.02,100,83,1511,126,439,0,53.23
5,330.7613220214844,-9.24,100,86,1274,0,1274,0,49.19
6,366.1595153808594,-7.742574257425742,101,76,1061,103,958,0,46.67
7,437.7555847167969,-9.12,100,82,1229,49,1180,0,59.44
8,445.8269348144531,-7.85,100,75,1177,246,931,0,49.75
