episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,764.2850341796875,-1.027027027027027,20,43.31,0.99802,8,74,26,28,0,25
2,667.58642578125,-3.364864864864865,18,57.66,0.99604,16,74,23,26,0,25
3,730.3366088867188,-0.98,20,48.65,0.99406,10,100,33,36,0,34
4,806.677978515625,-2.316666666666667,20,48.43,0.9920800000000001,12,60,24,16,0,24
5,728.4165649414062,-0.8333333333333334,21,52.59,0.9901000000000001,8,114,48,27,0,41
6,666.6051025390625,-0.4864864864864865,20,51.5,0.9881200000000001,8,74,26,28,0,22
7,761.0382080078125,-0.7377049180327869,20,18.81,0.9861400000000001,8,61,16,27,0,23
8,679.1546630859375,0.8350515463917526,21,41.73,0.9841600000000001,4,97,34,36,0,30
9,693.349609375,-1.3068181818181819,20,48.61,0.9821800000000002,10,88,30,34,0,26
10,667.8074951171875,-1.0512820512820513,20,48.09,0.9802000000000002,8,117,35,45,0,40
11,637.895263671875,0.3516483516483517,21,22.92,0.9782200000000002,6,91,27,33,0,33
12,721.2514038085938,-1.988888888888889,20,54.74,0.9762400000000002,14,90,29,28,0,35
13,703.9146728515625,-0.15789473684210525,21,41.76,0.9742600000000002,4,95,29,44,0,28
14,640.487548828125,-0.8484848484848485,18,58.0,0.9722800000000003,10,66,18,29,0,19
15,591.92822265625,-3.6666666666666665,20,50.33,0.9703000000000003,14,51,22,16,0,15
16,721.7821044921875,-2.2333333333333334,20,55.16,0.9683200000000003,12,60,21,21,0,20
17,695.0758666992188,-0.9397590361445783,20,42.98,0.9663400000000003,8,83,29,26,0,32
18,656.252685546875,-3.9166666666666665,20,55.18,0.9643600000000003,14,48,18,15,0,17
19,667.83056640625,-0.4606741573033708,22,35.95,0.9623800000000003,8,89,33,22,0,40
20,507.2221984863281,-0.3617021276595745,21,42.32,0.9604000000000004,8,94,39,28,0,29
21,595.8082275390625,-0.2916666666666667,20,29.6,0.9584200000000004,6,96,32,36,0,34
22,530.3395385742188,-3.638888888888889,18,58.04,0.9564400000000004,18,72,23,23,0,26
23,572.0989990234375,0.9278350515463918,21,35.36,0.9544600000000004,2,97,33,35,0,33
24,504.928466796875,-2.0,20,47.61,0.9524800000000004,10,70,21,21,0,32
25,601.085693359375,-0.13953488372093023,20,55.06,0.9505000000000005,6,86,28,28,0,34
26,620.5758666992188,-1.625,18,57.89,0.9485200000000005,12,72,25,21,0,26
27,494.32196044921875,-2.985294117647059,20,54.86,0.9465400000000005,16,68,18,20,0,32
28,583.8743286132812,-1.7222222222222223,20,41.7,0.9445600000000005,8,72,21,30,0,25
29,520.122802734375,-1.425,20,55.09,0.9425800000000005,12,80,24,25,0,33
30,535.917236328125,-1.381578947368421,20,50.05,0.9406000000000005,10,76,29,18,0,31
31,540.765869140625,-2.7758620689655173,20,47.98,0.9386200000000006,12,58,17,21,0,22
32,523.9799194335938,0.9027777777777778,20,28.02,0.9366400000000006,4,72,22,25,0,29
33,462.3575439453125,-0.43333333333333335,20,54.63,0.9346600000000006,8,90,34,24,0,34
34,415.89373779296875,-0.7763157894736842,20,52.02,0.9326800000000006,8,76,25,24,0,29
35,463.3800048828125,0.1388888888888889,20,44.55,0.9307000000000006,6,72,23,20,0,33
36,494.0394592285156,-1.881578947368421,20,54.48,0.9287200000000007,12,76,24,17,0,37
37,560.7996826171875,-1.2666666666666666,20,55.2,0.9267400000000007,10,60,18,27,0,17
38,446.218017578125,-0.4084507042253521,20,34.78,0.9247600000000007,6,71,31,21,0,23
39,425.7475280761719,-0.22727272727272727,21,35.9,0.9227800000000007,8,66,21,24,0,25
40,417.0089416503906,-0.2672413793103448,20,42.37,0.9208000000000007,8,116,39,31,0,50
41,444.03741455078125,-0.42452830188679247,20,48.87,0.9188200000000007,8,106,30,28,0,52
42,457.55963134765625,1.382608695652174,21,32.88,0.9168400000000008,0,115,40,33,0,46
43,400.0212097167969,-1.1666666666666667,20,36.28,0.9148600000000008,8,66,25,17,0,28
