episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,,-1.3291139240506329,21,35.55,1.0,8,79,28,27,0,26
2,625.8902587890625,-1.736842105263158,20,55.97,0.9981,8,76,34,25,0,21
3,,-1.054054054054054,20,41.91,0.9981,6,74,30,25,0,23
4,597.7092895507812,-2.712121212121212,20,47.98,0.9962,12,66,27,16,0,25
5,,-2.8214285714285716,20,42.4,0.9962,12,84,24,30,0,32
6,525.1609497070312,-1.2291666666666667,20,54.44,0.9943,10,96,28,33,0,37
7,,-3.689655172413793,18,58.79,0.9943,14,58,17,18,0,23
8,590.43310546875,-1.8214285714285714,20,53.63,0.9924,10,84,23,29,0,34
9,,-2.6875,20,54.25,0.9924,14,80,27,24,0,31
10,486.6820068359375,-1.2325581395348837,20,41.72,0.9904999999999999,8,86,28,31,0,29
11,,-2.296875,20,55.07,0.9904999999999999,12,64,17,17,0,32
12,504.8450927734375,-1.5921052631578947,21,41.94,0.9885999999999999,8,76,32,27,0,22
13,,-3.324324324324324,20,55.23,0.9885999999999999,16,74,25,22,0,29
14,487.99700927734375,-2.315068493150685,20,45.89,0.9866999999999999,10,73,26,24,0,26
15,,-1.3297872340425532,20,54.45,0.9866999999999999,10,94,34,22,0,40
16,479.4737548828125,-0.2169811320754717,21,32.33,0.9847999999999999,4,106,33,28,0,49
17,,-0.11764705882352941,20,28.56,0.9847999999999999,4,68,25,16,0,35
18,412.08819580078125,-2.125,20,45.68,0.9828999999999999,10,72,23,28,0,23
19,,-0.3392857142857143,20,35.75,0.9828999999999999,4,56,22,19,0,19
20,428.1839599609375,-1.8225806451612903,20,47.89,0.9809999999999999,8,62,14,30,0,20
21,,-0.3918918918918919,20,41.73,0.9809999999999999,4,74,26,25,0,27
22,403.51605224609375,-3.5344827586206895,18,57.51,0.9790999999999999,14,58,15,25,0,18
23,,-2.370967741935484,20,60.64,0.9790999999999999,12,62,22,15,0,27
24,328.53875732421875,-0.8674698795180723,20,34.93,0.9771999999999998,6,83,18,41,0,28
25,,-1.6931818181818181,20,57.06,0.9771999999999998,10,88,32,25,0,33
26,371.92724609375,-1.640625,20,54.36,0.9752999999999998,8,64,25,23,0,18
27,,-1.9666666666666666,20,43.63,0.9752999999999998,12,90,37,28,0,29
28,344.20428466796875,-1.330188679245283,20,47.97,0.9733999999999998,10,106,33,33,0,46
29,,-1.2459016393442623,20,46.38,0.9733999999999998,8,61,24,20,0,19
30,350.71417236328125,-1.5344827586206897,20,48.13,0.9714999999999998,10,58,17,19,0,24
31,,-2.4404761904761907,20,54.46,0.9714999999999998,14,84,26,33,0,27
32,335.6611022949219,-2.875,18,57.69,0.9695999999999998,12,56,19,15,0,22
33,,-1.5942028985507246,21,54.32,0.9695999999999998,10,69,17,25,0,29
34,305.51690673828125,-2.1707317073170733,18,57.6,0.9676999999999998,12,82,26,30,0,26
35,,-1.1097560975609757,21,41.53,0.9676999999999998,8,82,26,32,0,28
36,284.6385803222656,-2.0833333333333335,20,47.71,0.9657999999999998,10,84,24,30,0,34
37,,-3.106060606060606,20,54.24,0.9657999999999998,12,66,23,27,0,20
38,288.4054260253906,-0.2,20,33.57,0.9638999999999998,4,85,23,36,0,28
39,,-1.4666666666666666,20,48.2,0.9638999999999998,8,75,26,20,0,31
40,261.82537841796875,-0.8414634146341463,20,34.68,0.9619999999999997,6,82,38,23,0,23
41,,-3.7,18,57.39,0.9619999999999997,14,60,17,26,0,17
42,261.07183837890625,-0.5060240963855421,21,41.13,0.9600999999999997,4,83,30,30,0,25
43,,-1.1857142857142857,20,34.55,0.9600999999999997,8,70,20,29,0,23
44,247.25392150878906,-1.0,18,57.43,0.9581999999999997,8,86,35,29,0,24
45,,-3.019230769230769,20,50.36,0.9581999999999997,12,52,18,22,0,14
46,233.42889404296875,-0.22093023255813954,21,47.44,0.9562999999999997,6,86,28,28,0,32
47,,-1.0879120879120878,20,54.49,0.9562999999999997,10,91,37,24,0,32
48,214.4164581298828,-0.46153846153846156,20,39.46,0.9543999999999997,4,104,39,32,0,37
49,,-2.0842105263157893,21,54.3,0.9543999999999997,12,95,34,30,0,33
50,197.22262573242188,-0.8387096774193549,20,54.01,0.9524999999999997,8,124,42,38,0,48
51,,-2.4393939393939394,18,57.35,0.9524999999999997,12,66,23,21,0,22
52,218.58425903320312,-2.463768115942029,20,36.14,0.9505999999999997,10,69,24,21,0,27
53,,-2.5641025641025643,19,57.46,0.9505999999999997,12,78,34,21,0,23
54,182.23812866210938,-1.1666666666666667,20,47.9,0.9486999999999997,10,96,36,30,0,32
55,,-1.6486486486486487,21,48.18,0.9486999999999997,10,74,30,22,0,24
56,164.15274047851562,-1.3170731707317074,20,54.21,0.9467999999999996,8,82,30,31,0,23
57,,-1.0512820512820513,20,54.31,0.9467999999999996,8,78,22,29,0,29
58,113.21381378173828,-3.0694444444444446,18,57.33,0.9448999999999996,14,72,22,25,0,25
59,,-0.2782608695652174,21,42.35,0.9448999999999996,6,115,45,38,0,36
60,136.7100830078125,-2.967741935483871,20,41.8,0.9429999999999996,12,62,24,19,0,21
61,,-1.367816091954023,21,48.08,0.9429999999999996,8,87,31,28,0,30
62,76.47309112548828,-1.1973684210526316,20,54.05,0.9410999999999996,10,76,24,24,0,30
63,,-1.3398058252427185,20,41.6,0.9410999999999996,9,103,40,30,0,37
64,96.32627868652344,-0.8823529411764706,20,36.79,0.9391999999999996,6,68,27,24,0,21
65,,-1.7205882352941178,20,41.6,0.9391999999999996,10,68,21,24,0,25
66,99.44642639160156,-1.7972972972972974,20,53.94,0.9372999999999996,10,74,33,24,0,19
67,,-1.9871794871794872,20,54.43,0.9372999999999996,10,78,29,31,0,22
68,97.3182373046875,-2.8684210526315788,18,57.28,0.9353999999999996,12,76,25,20,0,33
69,,-0.9896907216494846,20,49.37,0.9353999999999996,8,97,36,30,0,33
70,93.26800537109375,-2.2837837837837838,20,54.34,0.9334999999999996,12,74,33,22,0,21
71,,-0.7916666666666666,20,23.62,0.9334999999999996,6,72,33,27,0,18
72,84.59381103515625,-1.0921052631578947,20,47.23,0.9315999999999995,8,76,28,24,0,28
73,,-2.4347826086956523,20,42.74,0.9315999999999995,14,69,27,18,0,26
74,61.370025634765625,-2.486842105263158,20,53.79,0.9296999999999995,12,76,25,30,0,23
75,,-0.5675675675675675,20,47.89,0.9296999999999995,6,111,40,35,0,40
76,64.38070678710938,-2.242857142857143,18,57.33,0.9277999999999995,12,70,27,22,0,21
77,,-1.0462962962962963,20,35.2,0.9277999999999995,10,108,46,31,0,35
78,51.99930953979492,-2.0454545454545454,20,48.12,0.9258999999999995,8,88,29,33,0,30
79,,-0.9555555555555556,20,41.39,0.9258999999999995,8,90,38,24,0,30
80,48.53392791748047,-1.2647058823529411,21,42.12,0.9239999999999995,10,68,29,24,0,17
81,,-3.574074074074074,20,55.04,0.9239999999999995,14,54,20,18,0,18
82,32.86174774169922,-0.8191489361702128,20,49.09,0.9220999999999995,6,94,41,28,0,29
83,,-1.6818181818181819,20,53.04,0.9220999999999995,12,88,26,28,0,38
84,35.31035232543945,-1.6986301369863013,20,42.5,0.9201999999999995,8,73,18,28,0,30
85,,-2.640625,20,42.32,0.9201999999999995,10,64,22,21,0,25
86,39.83772277832031,-0.2727272727272727,20,49.44,0.9182999999999995,4,110,37,34,0,44
87,,-2.9310344827586206,20,48.15,0.9182999999999995,12,58,19,18,0,25
88,46.51906967163086,-3.0483870967741935,18,57.97,0.9163999999999994,14,62,16,21,0,25
89,,-4.730769230769231,20,60.96,0.9163999999999994,16,52,20,11,0,23
90,47.098106384277344,-2.020618556701031,20,51.6,0.9144999999999994,12,97,24,34,0,41
91,,-2.1555555555555554,20,54.92,0.9144999999999994,12,90,29,27,0,36
92,44.47459030151367,-2.0,18,58.31,0.9125999999999994,12,114,29,36,0,49
93,,-0.5697674418604651,20,46.38,0.9125999999999994,6,86,28,27,0,35
94,44.46550750732422,-1.3194444444444444,20,54.81,0.9106999999999994,8,72,28,23,0,25
95,,-3.08,20,52.89,0.9106999999999994,12,50,16,19,0,17
