episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,,-3.2777777777777777,18,53.5,1.0,14,72,23,25,0,24
2,829071.375,-1.5,20,46.69,0.9981,10,64,24,29,0,13
3,,-1.9583333333333333,21,38.75,0.9981,12,72,30,23,0,23
4,534993.75,-3.1714285714285713,18,53.6,0.9962,14,70,23,18,0,29
5,,-1.5942028985507246,20,42.26,0.9962,10,69,24,22,0,25
6,391765.1875,-2.391304347826087,20,45.64,0.9943,10,46,14,23,0,13
7,,-4.138461538461539,20,39.51,0.9943,16,65,23,18,0,26
8,273045.0625,-1.7317073170731707,20,50.76,0.9924,12,82,31,26,0,27
9,,-1.9107142857142858,20,38.84,0.9924,10,56,17,18,0,23
10,165465.6875,-0.15,20,38.93,0.9904999999999999,6,80,35,23,0,24
11,,-0.7346938775510204,20,42.12,0.9904999999999999,8,98,40,26,0,34
12,107984.0390625,-1.8875,21,50.78,0.9885999999999999,12,80,35,27,0,20
13,,-2.466666666666667,20,38.88,0.9885999999999999,12,60,19,23,0,20
14,60563.80078125,-3.6666666666666665,20,39.99,0.9866999999999999,12,42,12,16,0,16
15,,0.5657894736842105,20,23.73,0.9866999999999999,4,76,34,27,0,17
16,32833.9296875,0.20754716981132076,20,38.91,0.9847999999999999,4,106,32,40,0,36
17,,1.0408163265306123,20,38.87,0.9847999999999999,2,98,46,30,0,28
18,16156.73828125,-2.84,20,44.63,0.9828999999999999,16,75,25,24,0,28
19,,-3.3333333333333335,20,50.75,0.9828999999999999,14,60,19,26,0,17
20,7667.76708984375,-2.731707317073171,20,50.59,0.9809999999999999,14,82,28,32,0,24
21,,-1.375,20,44.64,0.9809999999999999,10,80,26,24,0,34
22,5534.919921875,-4.434782608695652,20,50.57,0.9790999999999999,14,46,20,13,0,15
23,,-2.533333333333333,18,53.73,0.9790999999999999,12,60,23,23,0,16
24,4334.06591796875,-2.6857142857142855,20,56.35,0.9771999999999998,14,70,25,25,0,22
25,,-1.2222222222222223,20,50.78,0.9771999999999998,10,72,32,29,0,13
26,3890.236572265625,-5.391304347826087,18,53.75,0.9752999999999998,16,46,12,14,0,20
27,,-2.2972972972972974,20,44.57,0.9752999999999998,14,74,28,25,0,23
28,3585.8857421875,-4.8,18,53.8,0.9733999999999998,16,50,9,18,0,23
29,,-2.774193548387097,20,50.27,0.9733999999999998,12,62,17,20,0,27
30,3831.70947265625,-1.5333333333333334,20,44.68,0.9714999999999998,10,90,37,31,0,24
31,,-1.0681818181818181,20,44.79,0.9714999999999998,10,88,31,25,0,36
32,3913.76611328125,0.03296703296703297,21,38.29,0.9695999999999998,4,91,36,31,0,28
33,,-1.1702127659574468,20,38.87,0.9695999999999998,10,94,31,32,0,33
34,3133.238525390625,-0.075,20,38.74,0.9676999999999998,4,80,28,30,0,26
35,,-2.0721649484536084,20,38.94,0.9676999999999998,14,97,29,30,0,40
36,3416.68359375,-2.4705882352941178,20,44.84,0.9657999999999998,12,68,20,24,0,26
37,,-1.5263157894736843,20,47.22,0.9657999999999998,10,76,19,29,0,30
38,2500.24267578125,-2.9,20,44.89,0.9638999999999998,14,80,28,24,0,30
39,,-1.6136363636363635,20,44.77,0.9638999999999998,10,88,29,24,0,37
40,2623.4248046875,0.15217391304347827,20,50.72,0.9619999999999997,6,92,30,32,0,34
41,,-2.3666666666666667,20,44.73,0.9619999999999997,12,60,19,23,0,20
42,2744.443115234375,-3.033333333333333,18,53.73,0.9600999999999997,12,60,25,18,0,19
43,,0.3829787234042553,20,38.57,0.9600999999999997,4,94,29,35,0,32
44,2007.626220703125,-2.641025641025641,18,53.87,0.9581999999999997,14,78,22,26,0,30
45,,-0.46296296296296297,20,38.34,0.9581999999999997,6,108,36,42,0,34
46,3076.5458984375,-2.3095238095238093,18,53.81,0.9562999999999997,14,84,29,24,0,31
47,,-0.7125,21,38.58,0.9562999999999997,8,80,33,25,0,24
48,2623.337646484375,-3.8275862068965516,20,50.66,0.9543999999999997,14,58,21,20,0,21
49,,-1.9090909090909092,20,50.82,0.9543999999999997,10,66,25,23,0,20
50,2420.31982421875,-3.7666666666666666,20,50.8,0.9524999999999997,14,60,21,23,0,18
51,,-2.1818181818181817,20,32.9,0.9524999999999997,12,77,26,30,0,25
52,2359.310546875,-2.5675675675675675,18,53.78,0.9505999999999997,12,74,23,29,0,22
53,,-2.263157894736842,20,38.58,0.9505999999999997,10,76,21,32,0,27
54,2648.302490234375,-0.7241379310344828,20,47.52,0.9486999999999997,6,116,35,42,0,43
55,,-2.088235294117647,20,50.73,0.9486999999999997,12,68,25,20,0,27
