episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,,-1.5384615384615385,20,49.18,1.0,10,78,26,21,0,33
2,416.2763671875,-2.4878048780487805,18,59.3,0.9981,14,82,28,27,0,27
3,,0.7297297297297297,20,36.2,0.9981,2,111,36,36,0,42
4,335.33367919921875,-3.6206896551724137,18,59.18,0.9962,14,58,19,25,0,16
5,,0.11764705882352941,20,42.24,0.9962,6,68,27,21,0,22
6,334.25201416015625,-0.23076923076923078,20,42.47,0.9943,8,52,19,14,0,21
7,,-0.575,20,56.12,0.9943,6,80,18,32,0,32
8,353.4830017089844,0.9385964912280702,21,35.86,0.9924,2,114,39,35,0,42
9,,-0.847457627118644,20,56.11,0.9924,10,118,33,42,0,45
10,307.9029846191406,-1.1702127659574468,18,59.46,0.9904999999999999,10,94,27,30,0,37
11,,-1.0784313725490196,20,53.35,0.9904999999999999,12,102,29,31,0,44
12,340.16217041015625,-0.325,20,37.34,0.9885999999999999,6,80,29,24,0,31
13,,0.023255813953488372,20,48.52,0.9885999999999999,8,86,30,30,0,28
14,289.6839599609375,-0.17857142857142858,20,29.51,0.9866999999999999,6,56,20,16,0,24
15,,-1.3529411764705883,20,48.72,0.9866999999999999,8,68,18,27,0,27
16,295.4828186035156,-0.6351351351351351,21,29.64,0.9847999999999999,9,74,31,21,0,26
17,,-1.5135135135135136,18,59.13,0.9847999999999999,12,74,32,21,0,23
18,270.3843994140625,-0.2,20,41.72,0.9828999999999999,6,80,29,22,0,31
19,,-2.7037037037037037,20,56.38,0.9828999999999999,12,54,20,17,0,19
20,238.58963012695312,-3.1666666666666665,20,52.96,0.9809999999999999,14,48,16,18,0,16
21,,-2.107142857142857,20,49.03,0.9809999999999999,10,56,17,20,0,23
22,244.1788787841797,-2.4411764705882355,20,58.53,0.9790999999999999,12,68,30,18,0,22
23,,0.15730337078651685,20,23.49,0.9790999999999999,4,89,34,25,0,36
24,266.1128845214844,-0.6067415730337079,20,33.55,0.9771999999999998,8,89,39,28,0,24
25,,0.6521739130434783,20,43.22,0.9771999999999998,4,92,37,28,0,29
26,227.34889221191406,0.1836734693877551,21,30.04,0.9752999999999998,2,98,39,33,0,35
