episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,,-2.7611940298507465,21,47.97,1.0,10,67,32,24,0,16
2,1141514.625,-0.3050847457627119,20,19.75,0.9981,6,59,16,27,0,18
3,,-0.9761904761904762,21,41.4,0.9981,8,84,33,27,0,26
4,888431.625,-0.8387096774193549,20,40.5,0.9962,8,93,37,27,0,31
5,,-1.9027777777777777,20,47.69,0.9962,10,72,26,20,0,29
6,605893.5,-1.1265822784810127,20,35.25,0.9943,8,79,35,22,0,26
7,,-0.8611111111111112,20,40.97,0.9943,8,72,24,28,0,22
8,718635.1875,-1.7758620689655173,20,28.31,0.9924,8,58,20,21,0,19
9,,-3.6785714285714284,18,58.22,0.9924,14,56,23,20,0,15
10,669440.8125,-4.480769230769231,20,54.93,0.9904999999999999,16,52,10,13,0,31
11,,-1.26,20,48.78,0.9904999999999999,8,50,16,22,0,16
12,500403.25,-0.8933333333333333,20,35.65,0.9885999999999999,8,75,24,30,0,25
13,,0.05813953488372093,20,33.68,0.9885999999999999,4,86,24,33,0,31
14,409937.46875,-0.5909090909090909,20,42.49,0.9866999999999999,6,88,30,33,0,29
15,,-0.4383561643835616,20,29.36,0.9866999999999999,4,73,24,20,0,31
16,284240.25,-1.2314814814814814,20,48.65,0.9847999999999999,6,108,37,32,0,43
17,,-1.9814814814814814,20,35.74,0.9847999999999999,10,54,15,20,0,21
18,291085.25,-1.1363636363636365,22,48.15,0.9828999999999999,8,88,27,32,0,33
19,,-2.2,20,44.98,0.9828999999999999,12,80,28,28,0,26
20,196566.234375,-0.3076923076923077,20,35.93,0.9809999999999999,4,78,33,20,0,29
21,,-1.7162162162162162,20,50.53,0.9809999999999999,10,74,23,27,0,26
22,200722.65625,-1.0449438202247192,20,23.74,0.9790999999999999,6,89,29,41,0,21
23,,-1.1833333333333333,20,44.6,0.9790999999999999,8,60,22,24,0,16
24,259374.125,-1.7297297297297298,18,57.92,0.9771999999999998,8,74,27,27,0,22
25,,-4.92,20,57.97,0.9771999999999998,16,50,17,19,0,16
26,204884.3125,0.2786885245901639,20,54.42,0.9752999999999998,4,122,34,46,0,44
27,,-6.904761904761905,18,57.87,0.9752999999999998,18,42,12,12,0,18
28,140360.875,-1.2872340425531914,20,41.59,0.9733999999999998,10,94,33,38,0,27
29,,-3.267857142857143,18,57.81,0.9733999999999998,12,56,21,12,0,23
30,172574.53125,-1.7738095238095237,20,41.51,0.9714999999999998,10,84,25,31,0,32
31,,-1.2474226804123711,20,42.51,0.9714999999999998,8,97,36,29,0,38
32,139667.84375,-0.9339622641509434,20,54.95,0.9695999999999998,8,106,33,31,0,46
33,,-0.75,20,42.01,0.9695999999999998,6,64,18,24,0,26
34,34712.12890625,-0.672,20,41.31,0.9676999999999998,6,125,41,46,0,40
35,,-1.030612244897959,20,28.98,0.9676999999999998,6,98,25,36,0,43
36,57522.67578125,-2.090909090909091,21,48.64,0.9657999999999998,10,55,21,10,0,26
37,,-0.5858585858585859,20,40.04,0.9657999999999998,4,99,40,30,0,34
38,57074.34375,-1.375,20,54.73,0.9638999999999998,10,64,22,21,0,25
39,,-0.5882352941176471,20,16.03,0.9638999999999998,6,51,16,19,0,22
40,49829.0546875,-1.425531914893617,18,58.01,0.9619999999999997,10,94,38,33,0,23
41,,-1.675,20,47.93,0.9619999999999997,10,80,26,29,0,29
42,26733.8671875,-0.6260162601626016,20,33.68,0.9600999999999997,4,123,44,41,0,42
43,,-3.9814814814814814,18,58.2,0.9600999999999997,14,54,12,22,0,20
44,12458.271484375,-1.190909090909091,20,61.09,0.9581999999999997,10,110,37,30,0,45
45,,-1.0853658536585367,20,41.6,0.9581999999999997,8,82,26,27,0,31
46,12141.158203125,-0.5714285714285714,20,41.84,0.9562999999999997,6,84,33,30,0,23
47,,-2.9285714285714284,20,41.8,0.9562999999999997,10,56,18,22,0,18
48,13203.443359375,-1.603448275862069,18,58.13,0.9543999999999997,8,58,24,20,0,14
49,,-2.706896551724138,20,41.39,0.9543999999999997,10,58,21,26,0,15
50,13332.69921875,-0.788135593220339,20,43.45,0.9524999999999997,6,118,39,44,0,41
51,,-0.8571428571428571,20,41.75,0.9524999999999997,6,70,25,23,0,24
52,8627.79296875,-0.6836734693877551,18,57.96,0.9505999999999997,8,98,40,27,0,31
53,,-1.0098039215686274,20,47.72,0.9505999999999997,8,102,29,30,0,47
54,7983.625,-2.0375,18,58.1,0.9486999999999997,12,80,30,21,0,29
55,,-1.7083333333333333,20,54.91,0.9486999999999997,12,96,31,35,0,32
56,12255.392578125,-0.4153846153846154,20,18.14,0.9467999999999996,6,65,22,25,0,21
57,,-2.4415584415584415,20,49.02,0.9467999999999996,14,77,33,27,0,20
58,15391.126953125,-1.0238095238095237,20,48.12,0.9448999999999996,8,84,23,33,0,32
59,,-2.0625,20,41.85,0.9448999999999996,10,96,24,35,0,41
60,21653.8203125,-1.1842105263157894,20,49.74,0.9429999999999996,6,76,25,30,0,25
61,,-1.1911764705882353,20,42.2,0.9429999999999996,6,68,21,27,0,24
62,14329.775390625,-1.2542372881355932,20,19.57,0.9410999999999996,10,118,42,43,0,36
63,,-2.1791044776119404,20,45.82,0.9410999999999996,10,67,28,22,0,19
64,12732.1982421875,-1.4264705882352942,21,38.57,0.9391999999999996,8,68,20,30,0,20
65,,-0.5135135135135135,20,44.92,0.9391999999999996,6,74,20,34,0,22
66,32991.8515625,-0.84,20,35.62,0.9372999999999996,6,50,13,25,0,16
67,,-1.0,21,42.23,0.9372999999999996,6,58,15,33,0,15
68,28955.783203125,-0.19548872180451127,20,34.94,0.9353999999999996,4,133,41,52,0,45
69,,-1.1111111111111112,20,54.75,0.9353999999999996,8,108,38,41,0,33
70,21459.31640625,-0.8117647058823529,20,35.27,0.9334999999999996,6,85,32,33,0,24
71,,-1.2575757575757576,20,21.54,0.9334999999999996,6,66,26,25,0,19
72,19180.484375,-1.9821428571428572,20,42.07,0.9315999999999995,10,56,13,21,0,24
73,,-3.1714285714285713,20,54.38,0.9315999999999995,14,70,18,35,0,19
74,22259.78125,-0.16666666666666666,20,42.09,0.9296999999999995,4,84,38,27,0,23
75,,-2.55,18,57.88,0.9296999999999995,14,80,27,23,0,30
76,20530.140625,-3.574074074074074,20,60.77,0.9277999999999995,14,54,21,10,0,25
77,,-1.4342105263157894,20,35.55,0.9277999999999995,8,76,24,28,0,26
78,19479.130859375,-1.01,20,48.23,0.9258999999999995,6,100,31,44,0,27
79,,-2.0416666666666665,18,58.16,0.9258999999999995,12,72,20,29,0,23
80,24311.134765625,-3.2857142857142856,20,54.63,0.9239999999999995,14,70,17,29,0,26
81,,-0.5584415584415584,20,22.42,0.9239999999999995,4,77,31,31,0,17
82,19723.345703125,-0.7972972972972973,20,54.78,0.9220999999999995,8,74,24,28,0,24
83,,-4.541666666666667,18,58.1,0.9220999999999995,14,48,14,19,0,15
84,13438.9384765625,-1.2830188679245282,21,41.77,0.9201999999999995,8,53,23,23,0,11
85,,-2.6794871794871793,18,58.23,0.9201999999999995,12,78,25,26,0,27
86,24298.3515625,-0.935064935064935,20,29.53,0.9182999999999995,6,77,28,32,0,22
87,,-0.6347826086956522,20,49.94,0.9182999999999995,6,115,39,36,0,44
88,14579.15625,-0.1388888888888889,20,39.53,0.9163999999999994,6,108,23,53,0,36
89,,-3.3461538461538463,20,48.97,0.9163999999999994,12,52,15,22,0,19
90,12430.0498046875,0.5,20,36.14,0.9144999999999994,2,82,19,39,0,28
91,,-0.4015748031496063,20,52.64,0.9144999999999994,4,127,51,43,0,36
92,8852.861328125,-2.6527777777777777,20,48.96,0.9125999999999994,12,72,17,33,0,24
93,,-1.1428571428571428,20,48.46,0.9125999999999994,8,70,22,23,0,27
94,14148.38671875,-2.0428571428571427,20,54.57,0.9106999999999994,12,70,24,32,0,16
95,,-1.1571428571428573,20,48.5,0.9106999999999994,8,70,26,30,0,16
96,12794.89453125,-0.043478260869565216,20,36.1,0.9087999999999994,4,69,31,19,0,25
97,,-5.8125,18,58.46,0.9087999999999994,18,48,18,18,0,12
98,12904.02734375,-3.9482758620689653,21,41.73,0.9068999999999994,16,58,18,23,0,19
99,,-1.2553191489361701,20,55.38,0.9068999999999994,8,94,37,34,0,25
100,11902.142578125,-1.3146067415730338,21,50.47,0.9049999999999994,10,89,33,27,0,31
101,,-2.7395833333333335,18,58.39,0.9049999999999994,16,96,33,28,0,35
102,4579.3515625,-3.156862745098039,20,48.5,0.9030999999999993,12,51,17,20,0,16
103,,-0.726027397260274,20,35.24,0.9030999999999993,6,73,33,22,0,20
104,3450.27685546875,-5.435483870967742,18,58.39,0.9011999999999993,18,62,23,18,0,21
105,,-0.7254901960784313,20,41.69,0.9011999999999993,6,102,40,26,0,40
106,2799.23046875,-0.8547008547008547,20,35.61,0.8992999999999993,6,117,47,37,0,36
107,,-0.5641025641025641,22,36.96,0.8992999999999993,6,78,34,23,0,27
108,3722.46728515625,-1.135135135135135,20,48.3,0.8973999999999993,8,74,27,23,0,26
109,,-0.5625,20,28.81,0.8973999999999993,6,80,32,25,0,25
110,5588.1416015625,-1.2983870967741935,20,52.08,0.8954999999999993,10,124,38,48,0,42
111,,-0.5268817204301075,20,30.04,0.8954999999999993,6,93,47,22,0,28
112,4847.5498046875,-0.21794871794871795,20,35.47,0.8935999999999993,4,78,37,26,0,19
113,,-1.065934065934066,20,36.78,0.8935999999999993,8,91,48,18,0,28
114,4853.345703125,-2.96875,20,54.54,0.8916999999999993,14,64,20,16,0,30
115,,-2.0813953488372094,18,58.2,0.8916999999999993,12,86,23,26,0,37
116,2110.974853515625,-0.875,20,48.35,0.8897999999999993,10,104,36,30,0,40
117,,-0.4880952380952381,20,47.47,0.8897999999999993,6,84,30,24,0,32
118,5951.63427734375,-1.8142857142857143,20,54.85,0.8878999999999992,10,70,23,28,0,21
119,,-2.782608695652174,21,54.73,0.8878999999999992,14,92,34,26,0,34
120,2877.39306640625,-2.6176470588235294,20,48.39,0.8859999999999992,12,68,23,21,0,26
