episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,,0.38636363636363635,18,58.61,1.0,6,88,29,30,0,29
2,768.2196044921875,-0.1,20,45.63,0.99802,6,80,23,33,0,26
3,,-0.7,20,41.11,0.99802,8,80,19,34,0,29
4,679.4841918945312,-0.873015873015873,21,42.72,0.99604,10,63,26,16,0,23
5,,-1.7078651685393258,20,54.44,0.99604,12,89,37,29,0,24
6,682.668701171875,-0.907563025210084,20,35.98,0.99406,8,119,40,38,0,43
7,,0.3469387755102041,20,36.07,0.99406,4,98,28,38,0,34
8,737.5407104492188,0.4883720930232558,20,48.93,0.9920800000000001,4,86,34,30,0,24
9,,-0.5333333333333333,21,36.06,0.9920800000000001,6,90,41,20,0,34
10,681.9862060546875,1.196969696969697,20,29.95,0.9901000000000001,2,66,30,23,0,19
11,,-2.09375,18,58.61,0.9901000000000001,12,64,22,17,0,25
12,744.7816162109375,-0.8876404494382022,21,48.71,0.9881200000000001,8,89,31,28,0,32
13,,1.1,20,30.08,0.9881200000000001,2,80,27,26,0,31
14,738.107421875,-0.32,18,58.29,0.9861400000000001,8,100,35,32,0,33
15,,-0.075,20,24.42,0.9861400000000001,6,80,32,31,0,21
16,628.5091552734375,-1.6071428571428572,20,55.03,0.9841600000000001,10,56,24,17,0,17
17,,-0.9361702127659575,20,54.93,0.9841600000000001,8,94,26,40,0,32
18,629.5987548828125,-1.7777777777777777,20,42.2,0.9821800000000002,10,72,25,27,0,24
19,,0.03614457831325301,20,36.29,0.9821800000000002,4,83,30,26,0,31
20,637.0242309570312,-0.5595238095238095,21,41.64,0.9802000000000002,8,84,36,26,0,27
21,,-0.9230769230769231,20,50.4,0.9802000000000002,8,104,38,35,0,37
22,655.607421875,0.20833333333333334,20,48.82,0.9782200000000002,4,96,32,37,0,29
23,,-3.1785714285714284,18,58.38,0.9782200000000002,14,56,20,15,0,21
24,703.1878662109375,-2.888888888888889,20,54.64,0.9762400000000002,10,54,16,19,0,23
25,,0.6306306306306306,20,31.27,0.9762400000000002,2,111,44,41,0,30
26,657.5908203125,-0.22,21,49.27,0.9742600000000002,6,100,34,29,0,41
27,,-2.9655172413793105,20,55.46,0.9742600000000002,12,58,20,20,0,20
28,666.9246826171875,-0.9452054794520548,20,42.07,0.9722800000000003,10,73,25,25,0,25
29,,-0.5,20,36.12,0.9722800000000003,6,68,22,28,0,22
